node_size,model_type,test_size,rmse,mape,training_time,model_file
10,Q_values,0.2,0.65455997,0.23093295,9.692852020263672,GNN_model_10.pkl
12,Q_values,0.2,0.6438504,0.21426658,8.569517374038696,GNN_model_12.pkl
15,Q_values,0.2,0.99676204,0.19090621,8.802353143692017,GNN_model_15.pkl
20,Q_values,0.2,1.02097,0.24486658,9.22412657737732,GNN_model_20.pkl
25,Q_values,0.2,1.3883768,0.22290163,8.837490558624268,GNN_model_25.pkl
full,Q_values,0.2,0.7581289,249777410000000.0,44.13515257835388,GNN_model_full.pkl
