node_size,model_type,test_size,rmse,mape,training_time,model_file
10,Q_values,0.2,0.6433878,0.24261916,13.78599238395691,GNN_model_10.pkl
12,Q_values,0.2,0.72493047,0.16727921,13.985933542251587,GNN_model_12.pkl
15,Q_values,0.2,0.8128683,0.20609553,14.115324974060059,GNN_model_15.pkl
20,Q_values,0.2,1.0023148,0.25941524,14.395388841629028,GNN_model_20.pkl
25,Q_values,0.2,1.880862,0.24483475,14.981651544570923,GNN_model_25.pkl
full,Q_values,0.2,0.7684034,197509540000000.0,72.82458996772766,GNN_model_full.pkl
