node_size,model_type,test_size,rmse,mape,training_time,model_file
10,Q_values,0.2,0.62138146,0.23313399,12.238498449325562,GNN_model_10.pkl
12,Q_values,0.2,0.64291626,0.18757114,12.102155447006226,GNN_model_12.pkl
15,Q_values,0.2,0.80185145,0.19148886,12.30699896812439,GNN_model_15.pkl
20,Q_values,0.2,1.0930378,0.26355615,12.913123846054077,GNN_model_20.pkl
25,Q_values,0.2,1.6858786,0.23028429,13.16024398803711,GNN_model_25.pkl
full,Q_values,0.2,0.6802529,215664070000000.0,63.38712477684021,GNN_model_full.pkl
