,Size,Model,Best_Time,Worst_Time,Median_Time,IQR_Time,Best_Time_Speedup,Worst_Time_Speedup,Median_Time_Speedup,IQR_Time_Speedup,Best_Cut,Worst_Cut,Median_Cut,IQR_Cut,Best_Cut_Ratio,Worst_Cut_Ratio,Median_Cut_Ratio,IQR_Cut_Ratio,Best_Tradeoff,Worst_Tradeoff,Median_Tradeoff,IQR_Tradeoff,Optimal_Cut
0,10,Vanilla,1.074,2.325,1.987,0.634,0.000,0.000,0.000,0.000,14.201,5.709,9.278,3.203,0.913,0.602,0.766,0.134,0.000,0.000,0.000,0.000,12.172
1,10,xgboost,0.074,1.433,0.112,0.169,26.274,1.257,14.990,12.001,15.627,5.575,9.328,3.759,1.000,0.564,0.768,0.129,0.308,-0.295,0.005,0.162,12.172
2,10,MLP,0.015,0.152,0.023,0.021,136.959,15.020,62.955,55.408,13.163,4.864,8.383,4.087,0.919,0.467,0.709,0.221,0.177,-0.356,-0.043,0.233,12.172
3,12,Vanilla,1.340,2.947,2.174,0.616,0.000,0.000,0.000,0.000,17.522,7.067,12.527,3.198,0.962,0.495,0.751,0.116,0.000,0.000,0.000,0.000,16.290
4,12,xgboost,0.045,0.089,0.050,0.008,61.365,25.030,39.090,14.825,16.828,6.100,12.420,3.119,0.904,0.431,0.707,0.135,0.198,-0.344,-0.014,0.211,16.290
5,12,MLP,0.019,0.046,0.023,0.005,141.030,47.021,87.648,23.369,16.212,7.451,11.100,3.508,0.919,0.527,0.667,0.154,0.194,-0.279,-0.083,0.164,16.290
6,15,Vanilla,2.493,4.553,3.036,0.617,0.000,0.000,0.000,0.000,30.220,9.723,18.902,5.932,0.897,0.464,0.744,0.112,0.000,0.000,0.000,0.000,26.141
7,15,xgboost,0.058,0.101,0.075,0.010,54.209,35.286,41.422,8.123,29.740,12.752,18.376,5.242,0.870,0.499,0.734,0.161,0.301,-0.398,0.003,0.195,26.141
8,15,MLP,0.038,0.081,0.047,0.013,93.517,39.491,62.449,16.295,29.886,10.264,18.179,7.002,0.885,0.447,0.712,0.145,0.208,-0.255,0.019,0.190,26.141
9,20,Vanilla,8.559,19.059,14.936,2.558,0.000,0.000,0.000,0.000,52.703,17.475,35.930,11.248,1.065,0.581,0.885,0.177,0.000,0.000,0.000,0.000,40.494
10,20,xgboost,0.323,0.582,0.470,0.086,36.383,26.354,31.867,4.443,53.550,19.250,34.736,12.875,1.053,0.724,0.880,0.160,0.261,-0.244,0.021,0.132,40.494
11,20,MLP,0.320,0.625,0.476,0.095,36.161,22.891,30.599,3.564,52.067,15.610,33.482,13.615,1.048,0.578,0.856,0.173,0.379,-0.211,-0.004,0.197,40.494
12,25,Vanilla,334.680,676.273,507.239,93.881,0.000,0.000,0.000,0.000,78.428,31.233,63.791,17.404,1.057,0.703,0.924,0.068,0.000,0.000,0.000,0.000,68.501
13,25,xgboost,12.040,23.060,19.254,3.191,45.835,23.109,27.247,3.944,78.126,34.122,60.089,25.347,1.098,0.654,0.907,0.107,0.138,-0.243,-0.004,0.099,68.501
14,25,MLP,12.042,23.114,18.932,3.143,45.829,23.087,27.170,3.927,84.089,36.415,62.443,18.819,1.092,0.766,0.914,0.076,0.253,-0.229,-0.009,0.129,68.501
