node_size,model_type,test_size,rmse,mape,training_time,model_file
10,Q_values,0.2,0.61928225,0.21361391,12.23432731628418,GNN_model_10.pkl
12,Q_values,0.2,0.6821977,0.19964983,12.248876094818115,GNN_model_12.pkl
15,Q_values,0.2,0.783,0.19658957,12.520423173904419,GNN_model_15.pkl
20,Q_values,0.2,0.82586974,0.2604118,12.808799505233765,GNN_model_20.pkl
25,Q_values,0.2,1.4616036,0.21037383,13.351595640182495,GNN_model_25.pkl
full,Q_values,0.2,0.8757831,416870940000000.0,64.62241840362549,GNN_model_full.pkl
