-0 1 110000110000010110101100101010001010010111111010
-0 1 111010000100011001110100111100110000010110110111
-0 1 110110101011101101011101101101000010010000000100
-0 1 010101001010110100011111101100000001010001011001
-0.62247 1 000010100100001001010000111110001101011010011001
-0.621624 2 010010110010001110011011111100110001011100011001
-0.620409 21 000010100010001110011011111100101001011110010000
-0.620401 60 100001001100101101001110111100111100010111001000
-0.619854 62 111000011100010001111100110000110110010111000010
-0.619785 85 111000011100010101111110000100110110010111000110
-0.619179 96 011000011100010101111110110000110010010111010010
-0.621822 1 0001111000011100110100011001010100
-0.620649 6 0001111001011110111101111111000111
-0.620617 16 0001111000011110111101011001010000
-0.620018 18 0001111000011110011101001001110011
-0.619951 19 0001111001011110011001101101100011
-0.61981 71 1011111101011110111101001110000011
-0.619705 176 0001111100011110011100001101000001
-0.620891 1 1111011100000010111011100100100110
-0.620541 2 0000010101010100011101111111001111
-0.619739 8 1100110101001011111001010100000000
-0.619529 56 0100101010100100101100010000110000
-0.619172 66 0101101010100100101100010000110000
-0.620196 1 1111010001011000011110111100100100
-0.634358 1 1001100101111110010111000000101110
-0.622757 2 0100000111111101101000001111001100
-0.621194 12 0110001110010101101000111111011001
-0.623681 1 1000000011111101001101011011101001
-0.623288 2 1010010100101011011100011011110010
-0.620841 4 0001010011110011011111110000111100
-0.635106 1 1000111111001100111010100100011100
-0.623806 2 0011000001001111001011110001001111
-0.623643 3 1100111010010001001110111110110110
-0.622268 5 1000111011001101001010110100011110
-0.620884 6 1001101111000000110101010110010101
-0.620792 17 1100111010110001001101011110110010
-0.619637 19 0110110010111011001101011001110010
-0.620627 1 0101101110100001101110000110010011
