node_size,model_type,test_size,rmse,mape,training_time,model_file
10,Q_values,0.2,0.61868083,0.22424707,9.488343715667725,GNN_model_10.pkl
12,Q_values,0.2,0.66965866,0.20941027,8.538951635360718,GNN_model_12.pkl
15,Q_values,0.2,0.81752086,0.21879947,8.605795621871948,GNN_model_15.pkl
20,Q_values,0.2,1.0012008,0.21676497,8.849502086639404,GNN_model_20.pkl
25,Q_values,0.2,1.4610057,0.18915008,8.82139253616333,GNN_model_25.pkl
full,Q_values,0.2,0.7458084,175921810000000.0,43.19735407829285,GNN_model_full.pkl
