,Size,Approach,Time,Time_Speed_Up,Cut,Optimal_Cut,Cut_Ratio,Tradeoff
0,10,Vanilla,0.6742992401123047,0.0,8.163387733339151,9.735622528681096,0.8385070096226359,0.0
1,10,xgboost,0.11670064926147461,5.778024752900028,2.4736141555509397,9.735622528681096,0.2540786835421859,-0.58442832608045
2,10,MLP,0.013667821884155273,49.334798611474525,5.996253806213512,9.735622528681096,0.6159086168910697,-0.22259839273156623
3,12,Vanilla,0.8454008102416992,0.0,11.381241042151313,18.050721430771894,0.630514469230531,0.0
4,12,xgboost,0.0320279598236084,26.395712212007297,14.327853957562176,18.050721430771894,0.7937551976807323,0.16324072845020132
5,12,MLP,0.016240835189819336,52.05402310662223,13.041755110901775,18.050721430771894,0.7225060317350472,0.09199156250451623
6,15,Vanilla,1.1230497360229492,0.0,17.973874203302135,22.570973895615243,0.7963269235269389,0.0
7,15,xgboost,0.03181862831115723,35.2953535595735,18.21010168669522,22.570973895615243,0.806792908933044,0.010465985406105105
8,15,MLP,0.016960859298706055,66.21420036829306,10.157442355481365,22.570973895615243,0.4500223341029429,-0.346304589423996
9,20,Vanilla,5.491720914840698,0.0,37.4479855303912,46.50064771737176,0.8053218045047003,0.0
10,20,xgboost,0.18408727645874023,29.832159074131155,45.42713257933847,46.50064771737176,0.9769139745201388,0.17159217001543858
11,20,MLP,0.17028021812438965,32.251079869001565,43.46256012149947,46.50064771737176,0.9346656929525453,0.12934388844784506
12,25,Vanilla,158.86133313179016,0.0,61.92683299338122,68.50138658440443,0.904023058235145,0.0
13,25,xgboost,7.590167760848999,20.929884310491275,59.56690964137983,68.50138658440443,0.8695723197950757,-0.034450738440069295
14,25,MLP,7.475443124771118,21.251092474421593,60.06426734083544,68.50138658440443,0.8768328691686681,-0.027190189066476855
