node_size,model_type,test_size,rmse,mape,training_time,model_file
10,Q_values,0.2,0.6531835,0.2462573,9.55983853340149,GNN_model_10.pkl
12,Q_values,0.2,0.66544443,0.18527061,8.870141744613647,GNN_model_12.pkl
15,Q_values,0.2,0.92386067,0.24389982,8.944131851196289,GNN_model_15.pkl
20,Q_values,0.2,0.9650061,0.24855871,9.236997842788696,GNN_model_20.pkl
25,Q_values,0.2,1.4293164,0.2257168,9.21120309829712,GNN_model_25.pkl
full,Q_values,0.2,0.7290587,247342700000000.0,44.56838321685791,GNN_model_full.pkl
