,Size,Approach,Time,Time_Speed_Up,Cut,Optimal_Cut,Cut_Ratio,Tradeoff
0,10,Vanilla,0.5443477630615234,0.0,5.847400436277566,9.453294402929922,0.6185568953046932,0.0
1,10,xgboost,0.11312174797058105,4.812052260747323,7.144183304178605,9.453294402929922,0.7557347734737174,0.13717787816902427
2,10,MLP,0.012163162231445312,44.75380272855575,6.918455650738268,9.453294402929922,0.7318565735765075,0.11329967827181431
3,12,Vanilla,0.6554110050201416,0.0,10.137985892205851,13.239119040594826,0.7657598561596103,0.0
4,12,xgboost,0.03409433364868164,19.22345841316905,10.187493023011953,13.239119040594826,0.7694993142500088,0.003739458090398551
5,12,MLP,0.013587236404418945,48.23725631262173,9.776782268082762,13.239119040594826,0.7384768003146149,-0.027283055844995352
6,15,Vanilla,1.3828511238098145,0.0,20.061215077362114,25.586835976931447,0.7840443849895659,0.0
7,15,xgboost,0.040320634841918945,34.29636287304056,20.372768040179437,25.586835976931447,0.7962206838917909,0.012176298902225047
8,15,MLP,0.023874998092651367,57.92047054594114,18.269037561569537,25.586835976931447,0.714001433316746,-0.07004295167281982
9,20,Vanilla,4.781065464019775,0.0,38.19963060116261,39.7477325755114,0.9610518166940024,0.0
10,20,xgboost,0.16355514526367188,29.232131195335278,32.48784668835863,39.7477325755114,0.8173509426390377,-0.14370087405496468
11,20,MLP,0.15007305145263672,31.858254481676124,29.258303835365197,39.7477325755114,0.736099946827942,-0.22495186986606042
12,25,Vanilla,166.5111060142517,0.0,62.428372623620156,68.50138658440443,0.911344656457408,0.0
13,25,xgboost,7.4842798709869385,22.248113229936468,62.72845711297812,68.50138658440443,0.9157253632477474,0.004380706790339417
14,25,MLP,7.488257169723511,22.236296409195013,60.347158568100014,68.50138658440443,0.8809625845126926,-0.030382071944715427
