,Size,Features,Model,Best RMSE,Worst RMSE,Median RMSE,IQR RMS,Best MAPE,Worst MAPE,Median MAPE,IQR MAPE
0,10,Q_values,gnn,0.58505255,0.697791,0.6303107,0.024482780000000037,0.18870038,0.26368237,0.22259641000000002,0.019932695
1,10,Q_values,MLP,0.5967197810549234,0.5967197810549235,0.5967197810549235,0.0,0.2542843702315752,0.2542843702315753,0.2542843702315753,0.0
2,10,Q_values,xgboost,0.6118322791582516,0.6118322791582516,0.6118322791582516,0.0,0.4268849862462393,0.4268849862462393,0.4268849862462393,0.0
3,10,Circuit,MLP,0.5529077343174237,0.5529077343174237,0.5529077343174237,0.0,0.39737887802295,0.3973788780229501,0.39737887802295,0.0
4,10,Circuit,xgboost,0.7739311166032573,0.7739311166032573,0.7739311166032573,0.0,0.407978329998907,0.407978329998907,0.407978329998907,0.0
5,10,Q_values_full_model,MLP,0.6040696822318816,0.6040696822318817,0.6040696822318817,0.0,0.2700975695479566,0.2700975695479567,0.2700975695479567,0.0
6,10,Q_values_full_model,xgboost,0.2230862461275217,0.2230862461275217,0.2230862461275217,0.0,0.0267763621788691,0.0267763621788691,0.0267763621788691,0.0
7,12,Q_values,gnn,0.5447124,0.7822439,0.664774215,0.03629939999999987,0.15888783,0.25703764,0.1935479,0.03627802250000001
8,12,Q_values,MLP,0.7155454070726781,0.7155454070726781,0.7155454070726781,0.0,0.5785204619308126,0.5785204619308126,0.5785204619308126,0.0
9,12,Q_values,xgboost,0.9854240926486656,0.9854240926486656,0.9854240926486656,0.0,0.6653387445724395,0.6653387445724395,0.6653387445724395,0.0
10,12,Circuit,MLP,0.8639417496750346,0.8639417496750347,0.8639417496750346,0.0,0.5396447395297748,0.5396447395297748,0.5396447395297748,0.0
11,12,Circuit,xgboost,1.0976164019878285,1.0976164019878285,1.0976164019878285,0.0,0.6603324816965572,0.6603324816965572,0.6603324816965572,0.0
12,12,Q_values_full_model,MLP,0.7077227237245456,0.7077227237245456,0.7077227237245456,0.0,0.5704264680817558,0.5704264680817558,0.5704264680817558,0.0
13,12,Q_values_full_model,xgboost,0.326408904372519,0.326408904372519,0.326408904372519,0.0,0.2672054934308219,0.2672054934308219,0.2672054934308219,0.0
14,15,Q_values,gnn,0.74203646,0.99676204,0.8118670800000001,0.09665444000000001,0.18061574,0.24389982,0.20692846999999998,0.018742682499999996
15,15,Q_values,MLP,0.7057154625069267,0.7057154625069268,0.7057154625069268,0.0,0.3040240923191481,0.3040240923191482,0.3040240923191482,0.0
16,15,Q_values,xgboost,0.6300191112065119,0.6300191112065119,0.6300191112065119,0.0,0.1994709664901214,0.1994709664901214,0.1994709664901214,0.0
17,15,Circuit,MLP,0.5220218708745379,0.5220218708745379,0.5220218708745379,0.0,0.1768444829996457,0.1768444829996457,0.1768444829996457,0.0
18,15,Circuit,xgboost,0.800748822617868,0.800748822617868,0.800748822617868,0.0,0.2325610164065193,0.2325610164065193,0.2325610164065193,0.0
19,15,Q_values_full_model,MLP,0.6864060825191992,0.6864060825191993,0.6864060825191993,0.0,0.2916438723022999,0.2916438723022999,0.2916438723022999,0.0
20,15,Q_values_full_model,xgboost,0.1348506942855091,0.1348506942855091,0.1348506942855091,0.0,0.0158991463189337,0.0158991463189337,0.0158991463189337,0.0
21,20,Q_values,gnn,0.81091183,1.2262201,1.0194005499999998,0.13267952250000015,0.1911985,0.33176452,0.247028905,0.042345489999999986
22,20,Q_values,MLP,0.6031399064846342,0.6031399064846342,0.6031399064846342,0.0,0.2272955710369344,0.2272955710369344,0.2272955710369344,0.0
23,20,Q_values,xgboost,0.6279703612087232,0.6279703612087232,0.6279703612087232,0.0,0.2643734060969943,0.2643734060969943,0.2643734060969943,0.0
24,20,Circuit,MLP,0.6113903413709251,0.6113903413709251,0.6113903413709251,0.0,0.2597714168342579,0.259771416834258,0.2597714168342579,0.0
25,20,Circuit,xgboost,0.8512239916960574,0.8512239916960574,0.8512239916960574,0.0,0.3297297442007987,0.3297297442007987,0.3297297442007987,0.0
26,20,Q_values_full_model,MLP,0.5864796084862257,0.5864796084862257,0.5864796084862257,0.0,0.2281286311698445,0.2281286311698446,0.2281286311698446,0.0
27,20,Q_values_full_model,xgboost,0.4060494442931366,0.4060494442931366,0.4060494442931366,0.0,0.0930888426826202,0.0930888426826202,0.0930888426826202,0.0
28,25,Q_values,gnn,1.2358155,1.881517,1.463544,0.20116762500000007,0.18915008,0.28856134,0.22290163,0.029557707500000002
29,25,Q_values,MLP,0.5399259826104837,0.5399259826104837,0.5399259826104837,0.0,0.17922349933721,0.17922349933721,0.17922349933721,0.0
30,25,Q_values,xgboost,0.7514802085725365,0.7514802085725365,0.7514802085725365,0.0,0.2382266164205298,0.2382266164205298,0.2382266164205298,0.0
31,25,Circuit,MLP,0.67486428240804,0.67486428240804,0.67486428240804,0.0,0.2187140729248328,0.2187140729248329,0.2187140729248328,0.0
32,25,Circuit,xgboost,0.6986518993577859,0.6986518993577859,0.6986518993577859,0.0,0.1886929116176703,0.1886929116176703,0.1886929116176703,0.0
33,25,Q_values_full_model,MLP,0.533829319300657,0.5338293193006571,0.533829319300657,0.0,0.1870485805479744,0.1870485805479745,0.1870485805479745,0.0
34,25,Q_values_full_model,xgboost,0.1971870062835268,0.1971870062835268,0.1971870062835268,0.0,0.0269646459480701,0.0269646459480701,0.0269646459480701,0.0
35,full,Q_values,gnn,0.6104501,0.87498814,0.71189625,0.05514488250000005,112364980000000.0,577283940000000.0,250439205000000.0,59561012500000.0
