node_size,model_type,test_size,rmse,mape,training_time,model_file
10,Q_values,0.2,0.63610035,0.2346468,12.233388185501099,GNN_model_10.pkl
12,Q_values,0.2,0.7286546,0.21207571,12.351320505142212,GNN_model_12.pkl
15,Q_values,0.2,0.7827817,0.19696169,12.577179193496704,GNN_model_15.pkl
20,Q_values,0.2,0.91767544,0.22184634,12.847931146621704,GNN_model_20.pkl
25,Q_values,0.2,1.306163,0.19373652,13.353464126586914,GNN_model_25.pkl
full,Q_values,0.2,0.7362157,394411100000000.0,65.07910990715027,GNN_model_full.pkl
