,Size,Model,Best_Time,Worst_Time,Median_Time,IQR_Time,Best_Time_Speedup,Worst_Time_Speedup,Median_Time_Speedup,IQR_Time_Speedup,Best_Cut,Worst_Cut,Median_Cut,IQR_Cut,Best_Cut_Ratio,Worst_Cut_Ratio,Median_Cut_Ratio,IQR_Cut_Ratio,Best_Tradeoff,Worst_Tradeoff,Median_Tradeoff,IQR_Tradeoff,Optimal_Cut
0,10,Vanilla,0.5226337909698486,0.9443387985229492,0.6657594442367554,0.1535974144935608,0.0,0.0,0.0,0.0,12.377150558484496,4.085684864925274,7.805502134462152,3.1811816990020425,0.887456833206539,0.2694441339296067,0.6937969211507953,0.0923079914269005,0.0,0.0,0.0,0.0,11.295581361246942
1,10,xgboost,0.112767219543457,0.132584810256958,0.11848616600036616,0.008089601993560819,8.216853823030917,4.088144399323244,5.587015451468438,1.2377534358279938,13.119163108186632,2.47361415555094,7.715576335731771,2.8805211705977953,0.8651870270056293,0.2540786835421859,0.7299520680074147,0.17799005579139637,0.5231915050501708,-0.58442832608045,0.02616914334853885,0.21672041796814867,11.295581361246942
2,10,MLP,0.0118536949157714,0.0187773704528808,0.01290822029113765,0.0017620921134949511,74.45755319948869,37.42657253866274,48.62752626133742,6.757736876045584,12.929364832477258,3.280080389992144,7.356702345475464,2.2458778619262016,0.9411400068081048,0.3469774927326421,0.6825611971590102,0.2628249282252536,0.2719075645881267,-0.3120810399591897,-0.0235938064431336,0.2825678142987641,11.295581361246942
3,12,Vanilla,0.6554110050201416,1.0976896286010742,0.8655388355255127,0.14638113975524902,0.0,0.0,0.0,0.0,19.728991931555417,5.892951599885826,11.482384383430674,3.792770559008888,0.9305325716569844,0.3686776793168425,0.7137116226016996,0.1550576767588625,0.0,0.0,0.0,0.0,17.02329748706154
4,12,xgboost,0.0291953086853027,0.0384132862091064,0.033371210098266546,0.002885162830352797,29.88384612536562,18.871785537845497,26.480109767787937,4.131998624189638,18.548763420151275,9.393326085666637,13.72945671504595,3.236054317159562,0.9044580410178852,0.5034165975401007,0.7706689245831417,0.09041512058369539,0.3786898999748582,-0.2453195054629579,0.018275932612073602,0.21037070322026816,17.02329748706154
5,12,MLP,0.0124471187591552,0.0196976661682128,0.015227913856506299,0.002004981040954576,69.41955912065379,40.61442900910731,56.185134256341165,8.785571849974119,17.928445729123634,5.049320615193992,12.25476009356644,3.2294185136692253,0.9321499697995688,0.3415541577204719,0.7179337330039242,0.18609138893238086,0.2357933690536484,-0.4620312279694373,-0.0047489408891855005,0.18513312558322936,17.02329748706154
6,15,Vanilla,0.8550646305084229,1.6590197086334229,1.186097264289856,0.29520320892334007,0.0,0.0,0.0,0.0,26.247803201626787,11.365434035160828,18.590131986621508,5.746034305249243,0.9108156010127468,0.5741936105640868,0.6979999253408924,0.14657379214023925,0.0,0.0,0.0,0.0,26.824986584208432
7,15,xgboost,0.0312898159027099,0.0474665164947509,0.03469216823577875,0.0040885210037231515,45.66110648126882,26.70882808466701,34.48535270570707,4.815591986067126,27.20593460900198,12.41415178300788,20.68636795150444,6.3151855094004645,0.876936913419154,0.5919084410834015,0.7812302136279909,0.10947697082329444,0.2439795047858266,-0.2332018039460619,0.0550571781351955,0.13751853456817822,26.824986584208432
8,15,MLP,0.0161745548248291,0.0291073322296142,0.019962072372436503,0.003727614879608175,73.49344641480339,49.500654803173866,61.465479174577105,8.42080303791672,28.507745974856107,5.773312922338708,18.607226213664887,7.526814345127596,0.8991968816509165,0.3356459760841109,0.7263619748845098,0.15516238833342078,0.216442772520061,-0.346304589423996,-0.0016166541785247433,0.1272923266197217,26.824986584208432
9,20,Vanilla,4.017317056655884,7.765666961669922,5.240027666091919,0.7317079305648804,0.0,0.0,0.0,0.0,52.24319810361904,24.611657675640707,36.53472542284565,10.192842741968306,1.0163763808175683,0.7183012273103172,0.9136815701865091,0.16166979021921635,0.0,0.0,0.0,0.0,41.488095073634426
