node_size,model_type,test_size,rmse,mape,training_time,model_file
10,Q_values,0.2,0.61782074,0.21750069,14.941019058227539,GNN_model_10.pkl
12,Q_values,0.2,0.7213294,0.19985345,14.072606563568115,GNN_model_12.pkl
15,Q_values,0.2,0.76229256,0.22401305,13.24570107460022,GNN_model_15.pkl
20,Q_values,0.2,0.8517336,0.2623033,15.983611583709717,GNN_model_20.pkl
25,Q_values,0.2,1.4461564,0.24200971,16.244837999343872,GNN_model_25.pkl
full,Q_values,0.2,0.91256404,336228800000000.0,75.83905529975891,GNN_model_full.pkl
