node_size,model_type,dataset_size,n_features,n_outputs,hidden_layers,activation,solver,test_size,rmse,mape,training_time,converged,n_iterations,model_file
10,Q_values,50,55,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.5967197810549234,0.25428437023157524,0.1039888858795166,True,4,MLP_model_10.pkl
10,Circuit,50,5,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.5529077343174237,0.3973788780229501,0.0679788589477539,True,4,MLP_model_10_Circuit.pkl
12,Q_values,50,78,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.7155454070726781,0.5785204619308126,0.14403581619262695,True,4,MLP_model_12.pkl
12,Circuit,50,5,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.8639417496750347,0.5396447395297748,0.03789520263671875,True,4,MLP_model_12_Circuit.pkl
15,Q_values,50,120,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.7057154625069267,0.3040240923191481,0.06476902961730957,True,4,MLP_model_15.pkl
15,Circuit,50,5,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.5220218708745379,0.17684448299964575,0.03792977333068848,True,4,MLP_model_15_Circuit.pkl
20,Q_values,50,210,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.6031399064846342,0.22729557103693443,0.13339877128601074,True,4,MLP_model_20.pkl
20,Circuit,50,5,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.6113903413709251,0.259771416834258,0.028984785079956055,True,4,MLP_model_20_Circuit.pkl
25,Q_values,50,325,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.5399259826104837,0.17922349933721,0.1892988681793213,True,4,MLP_model_25.pkl
25,Circuit,50,5,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.67486428240804,0.21871407292483291,0.01648116111755371,True,4,MLP_model_25_Circuit.pkl
full,Q_values,250,325,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.6171285009672827,0.24047245958695612,0.10884404182434082,True,4,MLP_model_full.pkl
full,Circuit,250,5,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.6548844435037624,0.2963905179924973,0.020691871643066406,True,4,MLP_model_full_Circuit.pkl
10,Q_values_full_model,50,325,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.6040696822318816,0.27009756954795666,0.0,True,0,Models/MLP_model_full.pkl
12,Q_values_full_model,50,325,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.7077227237245456,0.5704264680817558,0.0,True,0,Models/MLP_model_full.pkl
15,Q_values_full_model,50,325,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.6864060825191992,0.29164387230229993,0.0,True,0,Models/MLP_model_full.pkl
20,Q_values_full_model,50,325,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.5864796084862257,0.22812863116984455,0.0,True,0,Models/MLP_model_full.pkl
25,Q_values_full_model,50,325,4,"(128, 64, 32)",logistic,lbfgs,0.2,0.5338293193006571,0.18704858054797446,0.0,True,0,Models/MLP_model_full.pkl
