node_size,model_type,test_size,rmse,mape,training_time,model_file
10,Q_values,0.2,0.65891004,0.21450385,14.767681121826172,GNN_model_10.pkl
12,Q_values,0.2,0.6957044,0.21996312,14.272299528121948,GNN_model_12.pkl
15,Q_values,0.2,0.74203646,0.19941302,14.615464448928833,GNN_model_15.pkl
20,Q_values,0.2,1.0472491,0.2409333,15.026198625564575,GNN_model_20.pkl
25,Q_values,0.2,1.7134587,0.27023426,15.76684856414795,GNN_model_25.pkl
full,Q_values,0.2,0.70198196,232843600000000.0,75.73131680488586,GNN_model_full.pkl
