num_nodes,edge_prob,x_0,x_1,x_2,x_3,depth,num_qubits,rx,rz,cx
20.0,0.5,4.155661844743938,2.556239381688829,3.142482966540233,1.555991792747109,879,20,60,380,680
20.0,0.5,2.9701940864603307,2.5076166069783503,3.1519961106905887,2.680119571459242,804,20,60,352,624
20.0,0.5,4.315768922437177,3.149603555539632,3.691226778449421,1.0428770390828823,786,20,60,368,656
20.0,0.5,4.157093674036309,1.620281178886998,3.011413184996275,2.347433268427465,711,20,60,324,568
20.0,0.5,4.168051334456902,1.5770554137604147,3.1985920460989288,1.5686194819167094,591,20,60,268,456
20.0,0.5,4.36295078668467,2.107178792473623,4.146877663909603,2.582015849864088,813,20,60,360,640
20.0,0.5,3.1497418291598773,2.574485052453901,3.1385038439320567,1.567564687050305,897,20,60,404,728
20.0,0.5,4.339651775580153,1.662294191510732,3.299585346769136,1.508267221994125,810,20,60,364,648
20.0,0.5,3.1509641720253065,2.5541324995954025,3.1310053258911945,1.614599108329109,948,20,60,420,760
20.0,0.5,4.13958225142034,2.3505452882215807,3.251616947837888,1.547500839046048,849,20,60,404,728
20.0,0.6,4.148472041569021,1.575676892831857,3.1456288635677,1.5672518797005863,843,20,60,380,680
20.0,0.6,4.165314690412371,1.65971553926789,3.0538484865340467,1.5996423030245106,1086,20,60,492,904
20.0,0.6,2.740932283579657,0.9054102377828974,4.368806048072952,0.8760802278733089,1020,20,60,460,840
20.0,0.6,4.333818379332786,1.0648721307500908,2.5140181842391764,0.8722797964060125,954,20,60,428,776
20.0,0.6,4.587930964658149,1.236739564727918,3.06292306975424,0.7860080101555692,855,20,60,384,688
20.0,0.6,3.018751664834844,2.514735476809959,4.134937804986681,1.3524827278072988,732,20,60,332,584
20.0,0.6,4.140302563313382,1.5736967799706376,3.132139679411061,1.5715475375710917,1089,20,60,488,896
20.0,0.6,2.5803924614209968,1.5421138243084584,3.439635255752834,1.6290262273905438,927,20,60,412,744
20.0,0.6,3.1474704936143945,1.578600260746308,4.140997627895582,2.5687480211657405,1161,20,60,528,976
20.0,0.6,3.582705104605384,1.1708363105048285,2.9915656383570983,2.1376841173344925,975,20,60,428,776
20.0,0.7,3.146416644330357,2.5775362317995056,3.145387227135674,1.5749077748936442,969,20,60,436,792
20.0,0.7,3.1529424904678205,2.5537907814763803,3.134935881824076,1.570698955504351,1068,20,60,472,864
20.0,0.7,3.137545359572797,2.559466727220221,3.114728055452005,1.56334218458558,1092,20,60,480,880
20.0,0.7,4.277384204085101,2.549610065608428,3.0720436837776,1.6971504312752557,1029,20,60,468,856
20.0,0.7,2.893513421715867,3.335217898170486,4.367156831838496,3.1356664513292687,1104,20,60,488,896
20.0,0.7,3.1426421777935487,2.574829218356727,3.139526351154338,1.5796487094595513,1053,20,60,480,880
20.0,0.7,3.9263311366962776,2.6924156742677554,4.30097867699705,1.0518475950998962,1131,20,60,508,936
20.0,0.7,2.634897878080393,1.5625700118381245,3.050718679890874,1.5181810531442317,1053,20,60,476,872
20.0,0.7,3.659252076701931,1.461149337744723,4.126086460212185,1.5019371506437118,1194,20,60,532,984
20.0,0.7,4.149787322531106,2.561715221375351,4.14490996661002,1.571251218436324,1014,20,60,452,824
20.0,0.8,3.130532339635693,2.6391281606303383,3.1025193395001374,1.80544680961752,1218,20,60,536,992
20.0,0.8,3.5268928898050995,1.7086688741834744,3.2353289054531245,2.5437351192763007,1371,20,60,628,1176
20.0,0.8,4.467581893441737,1.248432910049488,4.642360043534001,0.854673041798527,1194,20,60,552,1024
20.0,0.8,2.488959445800797,2.2803221313223685,2.676508521060626,3.254080878677756,1119,20,60,500,920
20.0,0.8,2.587225103890781,2.7626532631781457,2.521461258478084,1.0424751058809671,1239,20,60,560,1040
20.0,0.8,4.5878679601004215,1.1555673767997834,2.4350242804649054,1.20378181392324,1332,20,60,596,1112
20.0,0.8,3.144797982198268,1.573118183012285,4.134384914425,1.5764869636968413,1326,20,60,604,1128
20.0,0.8,2.8747916935086777,1.53501714020569,2.834666980252488,1.2729267235920618,1434,20,60,652,1224
20.0,0.8,3.044907918612153,1.6005036977858984,3.1906085308959877,2.6172396676041654,1170,20,60,536,992
20.0,0.8,3.190541820019277,2.608281992719093,3.1526298438063285,2.5607364488501423,1296,20,60,584,1088
20.0,0.9,2.9511635352206054,1.10107001557162,3.088940074149511,1.4143102522440016,1488,20,60,672,1264
20.0,0.9,4.216863311752239,1.4973706894735892,4.142526527597535,2.3429120761745423,1638,20,60,744,1408
20.0,0.9,3.017899257298284,1.3384815561590264,3.009169792339813,1.4623236512761115,1332,20,60,604,1128
20.0,0.9,3.127187498681189,1.567329507710277,3.098437176373704,1.687159093522398,1611,20,60,740,1400
20.0,0.9,3.1477759933188185,1.5692512868660198,3.1353300261819173,1.5663064872249617,1521,20,60,684,1288
20.0,0.9,2.893937233400397,2.585899075675921,4.121954878576253,1.562787987554339,1569,20,60,716,1352
20.0,0.9,4.483407859431082,2.160836363812485,4.050470725319875,1.4542344447950597,1461,20,60,668,1256
20.0,0.9,3.1153831891997816,2.06117583727273,4.151244196535327,1.5587992808110551,1524,20,60,700,1320
20.0,0.9,3.255129445612285,1.569921645526881,3.1653626390105893,1.610901781380817,1563,20,60,708,1336
20.0,0.9,3.20893281582379,2.8350919673698183,2.718840761762241,1.4689945613705235,1398,20,60,644,1208
