,Size,Approach,Time,Time_Speed_Up,Cut,Optimal_Cut,Cut_Ratio,Tradeoff
0,10,Vanilla,0.7895936965942383,0.0,11.26101812753375,14.363363188926575,0.7840098436148593,0.0
1,10,xgboost,0.11465692520141602,6.886576586692618,9.804377358164146,14.363363188926575,0.6825962157472161,-0.10141362786764319
2,10,MLP,0.014246463775634766,55.42383773471232,10.242130127910587,14.363363188926575,0.7130732540277718,-0.07093658958708748
3,12,Vanilla,0.7653837203979492,0.0,10.778355699950847,17.72190033374723,0.6081941268694521,0.0
4,12,xgboost,0.02823185920715332,27.11063819006359,12.533223566404562,17.72190033374723,0.7072166827695086,0.09902255590005649
5,12,MLP,0.014311075210571289,53.48191586838817,14.136166650591255,17.72190033374723,0.7976665247164392,0.1894723978469871
6,15,Vanilla,1.0847358703613281,0.0,16.53951792862271,21.415965659184195,0.772298489446343,0.0
7,15,xgboost,0.030382871627807617,35.70221681641621,16.034469666490175,21.415965659184195,0.7487156975157842,-0.0235827919305589
8,15,MLP,0.01826786994934082,59.379439057177535,12.847978326264796,21.415965659184195,0.5999252394558714,-0.17237324999047166
9,20,Vanilla,5.673808336257935,0.0,40.460210163915654,43.47775943487965,0.9305955663266494,0.0
10,20,xgboost,0.17270112037658691,32.85333832163797,42.01645462079539,43.47775943487965,0.9663896016474128,0.03579403532076342
11,20,MLP,0.17553472518920898,32.32299666144196,38.30529286310388,43.47775943487965,0.8810318967902885,-0.04956366953636093
12,25,Vanilla,195.2545211315155,0.0,66.40810247287436,80.17917032737904,0.8282463163652589,0.0
13,25,xgboost,8.413179874420166,23.20817146976456,71.13891184571341,80.17917032737904,0.8872492887522606,0.059002972387001695
14,25,MLP,8.373926162719727,23.31696235880109,78.36235432367774,80.17917032737904,0.9773405487200344,0.14909423235477548
