,Size,Approach,Time,Time_Speed_Up,Cut,Optimal_Cut,Cut_Ratio,Tradeoff
0,10,Vanilla,2.202627420425415,0.0,9.154470747290109,13.638646986284485,0.6712154626845445,0.0
1,10,xgboost,0.09208846092224121,23.91860389854161,7.837593582459748,13.638646986284485,0.574660638283366,-0.09655482440117846
2,10,MLP,0.01766204833984375,124.7096247300216,11.568518741758496,13.638646986284485,0.8482160109717786,0.1770005482872341
3,12,Vanilla,1.9169304370880127,0.0,10.292527311360264,14.78336744278885,0.6962234654040772,0.0
4,12,xgboost,0.04904317855834961,39.08658642113348,10.527993020417057,14.78336744278885,0.7121512105519968,0.015927745147919614
5,12,MLP,0.025128841400146484,76.28407559915748,8.216055629558165,14.78336744278885,0.5557634727915701,-0.14045999261250708
6,15,Vanilla,3.909515142440796,0.0,22.209270228494393,27.021953761902108,0.8218972774576703,0.0
7,15,xgboost,0.0771336555480957,50.684945691483115,19.0475129544783,27.021953761902108,0.704890294843637,-0.1170069826140333
8,15,MLP,0.04186272621154785,93.38892843921748,17.94522125297418,27.021953761902108,0.6640978447041422,-0.15779943275352804
9,20,Vanilla,11.802422285079956,0.0,21.066737058633727,26.13816632475432,0.8059760886394827,0.0
10,20,xgboost,0.363980770111084,32.42595008928068,19.610210389725708,26.13816632475432,0.75025195517077,-0.05572413346871263
11,20,MLP,0.38104724884033203,30.973645187044653,15.609584469574395,26.13816632475432,0.5971950853641649,-0.2087810032753178
12,25,Vanilla,458.2914090156555,0.0,62.25070750109225,66.04936023044488,0.9424876680697708,0.0
13,25,xgboost,19.83124542236328,23.109562675214026,62.24956643463503,66.04936023044488,0.9424703921044436,-1.7275965327190335e-05
14,25,MLP,19.850948572158813,23.08662517308692,59.47086598159184,66.04936023044488,0.9004003335399343,-0.042087334529836484
